PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2510172357,10,600,P00151,06.04.2017,5568,696,0,0,0,0,0,0,12.5,0,0,0,7109.64,845.64,INR,,,,,,,,
2510172358,10,3238,P00152,06.04.2017,99633.26,12454,0,0,0,0,0,0,12.5,0,0,0,127219.04,15131.78,INR,,,,,,,,
2510172358,10,2789,P00153,06.04.2017,85817.53,10727,0,0,0,0,0,0,12.5,0,0,0,109578.04,13033.51,INR,,,,,,,,
2510172359,10,1141,P00154,06.04.2017,8101.1,1013,0,0,0,0,0,0,12.5,0,0,0,10344.5,1230.4,INR,,,,,,,,
2540131779,10,472,P00155,06.04.2017,6711.84,839,0,0,0,0,0,0,12.5,0,0,0,8570.2,1019.36,INR,,,,,,,,
2540131780,10,250,P00156,06.04.2017,2287.5,286,0,0,0,0,0,0,12.5,0,0,0,2920.92,347.42,INR,,,,,,,,
2510172364,10,432,P00157,06.04.2017,2354.4,294,0,0,0,0,0,0,12.5,0,0,0,3005.93,357.53,INR,,,,,,,,
2510172365,10,5310,P00158,06.04.2017,87349.5,10919,0,0,0,0,0,0,12.5,0,0,0,111534.75,13266.25,INR,,,,,,,,
2510172368,10,97,P00159,06.04.2017,590.73,74,0,0,0,0,0,0,12.5,0,0,0,754.47,89.74,INR,,,,,,,,
2510172369,10,70,P00160,06.04.2017,431.9,54,0,0,0,0,0,0,12.5,0,0,0,551.5,65.6,INR,,,,,,,,
2510172371,10,464,P00161,06.04.2017,10699.84,1337,0,0,0,0,0,0,12.5,0,0,0,13661.81,1624.97,INR,,,,,,,,
2510172372,10,576,P00162,06.04.2017,11508.48,1439,0,0,0,0,0,0,12.5,0,0,0,14695.39,1747.91,INR,,,,,,,,
2510172373,10,615,P00163,06.04.2017,6143.85,768,0,0,0,0,0,0,12.5,0,0,0,7844.95,933.1,INR,,,,,,,,
2540144886,10,100,P00164,06.04.2017,1909,239,0,0,0,0,0,0,12.5,0,0,0,2437.98,289.98,INR,,,,,,,,
2530005982,10,70,P00165,06.04.2017,763.7,95,0,0,0,0,0,0,12.5,0,0,0,974.62,115.92,INR,,,,,,,,
2530005878,10,1587,P00166,06.04.2017,22709.97,2839,0,0,0,0,0,0,12.5,0,0,0,28998.08,3449.11,INR,,,,,,,,
2510172343,10,241,P00167,06.04.2017,2402.77,300,0,0,0,0,0,0,12.5,0,0,0,3067.64,364.87,INR,,,,,,,,
2540135674,10,1160,P00168,06.04.2017,3236.4,405,0,0,0,0,0,0,12.5,0,0,0,4132.99,491.59,INR,,,,,,,,
2540135674,10,400,P00169,06.04.2017,1300,162,0,0,0,0,0,0,12.5,0,0,0,1659.37,197.37,INR,,,,,,,,
2540135674,10,920,P00170,06.04.2017,1978,247,0,0,0,0,0,0,12.5,0,0,0,2525.38,300.38,INR,,,,,,,,
2540135675,10,3825,P00171,06.04.2017,6387.75,798,0,0,0,0,0,0,12.5,0,0,0,8155.83,970.08,INR,,,,,,,,
